#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,A.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,10/03/2017 11:19:17 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,A                              
#SAMPLE MASS /mg:            ,18.9615                        
#MATERIAL:                   ,KHCO3                          
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.9048                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.45300, 0.00000,-9.310921e-004
 31.45200, 0.00167,-1.336863e-003
 31.45000, 0.00333,-1.346889e-003
 31.45000, 0.00500,-1.661092e-003
 31.45000, 0.00667,-1.679136e-003
 31.45000, 0.00833,-1.799657e-003
 31.45000, 0.01000,-1.821057e-003
 31.45200, 0.01167,-1.941434e-003
 31.45200, 0.01333,-1.959215e-003
 31.45300, 0.01500,-1.974088e-003
 31.45000, 0.01667,-1.986992e-003
 31.45000, 0.01833,-2.099373e-003
 31.45100, 0.02000,-2.112565e-003
 31.45000, 0.02167,-2.127286e-003
 31.44900, 0.02333,-2.143472e-003
 31.45000, 0.02500,-2.460508e-003
 31.45100, 0.02667,-2.477734e-003
 31.45200, 0.02833,-2.495076e-003
 31.45000, 0.03000,-2.513128e-003
 31.44900, 0.03167,-2.631908e-003
 31.45200, 0.03333,-2.650058e-003
 31.45400, 0.03500,-2.765860e-003
 31.45400, 0.03667,-2.778635e-003
 31.45000, 0.03833,-2.789816e-003
 31.45200, 0.04000,-2.802229e-003
 31.45000, 0.04167,-3.117485e-003
 31.45000, 0.04333,-3.134323e-003
 31.45500, 0.04500,-3.149897e-003
 31.45500, 0.04667,-3.161968e-003
 31.45200, 0.04833,-3.270196e-003
 31.45200, 0.05000,-3.276513e-003
 31.45100, 0.05167,-3.283845e-003
 31.45100, 0.05333,-3.294234e-003
 31.45000, 0.05500,-3.608307e-003
 31.45100, 0.05667,-3.625198e-003
 31.45300, 0.05833,-3.643110e-003
 31.45400, 0.06000,-3.660114e-003
 31.45300, 0.06167,-3.774531e-003
 31.45400, 0.06333,-3.785619e-003
 31.45600, 0.06500,-3.794039e-003
 31.45300, 0.06667,-3.801720e-003
 31.45200, 0.06833,-4.011116e-003
 31.45200, 0.07000,-4.023907e-003
 31.45300, 0.07167,-4.240038e-003
 31.45600, 0.07333,-4.258249e-003
 31.45500, 0.07500,-4.277484e-003
 31.45600, 0.07667,-4.297652e-003
 31.45700, 0.07833,-4.419612e-003
 31.45800, 0.08000,-4.444270e-003
 31.45900, 0.08167,-4.471968e-003
 31.46200, 0.08333,-4.502390e-003
 31.46300, 0.08500,-4.634917e-003
 31.46700, 0.08667,-4.669275e-003
 31.46800, 0.08833,-4.706002e-003
 31.47000, 0.09000,-4.746355e-003
 31.47400, 0.09167,-4.791901e-003
 31.47600, 0.09333,-4.843674e-003
 31.48100, 0.09500,-4.901710e-003
 31.48700, 0.09667,-4.965296e-003
 31.49100, 0.09833,-5.032965e-003
 31.49700, 0.10000,-5.102767e-003
 31.50500, 0.10167,-5.173417e-003
 31.51000, 0.10333,-5.244836e-003
 31.51500, 0.10500,-5.217839e-003
 31.52000, 0.10667,-5.293519e-003
 31.52900, 0.10833,-5.371787e-003
 31.53500, 0.11000,-5.451370e-003
 31.54500, 0.11167,-5.231340e-003
 31.55000, 0.11333,-5.312350e-003
 31.55600, 0.11500,-5.296403e-003
 31.56500, 0.11667,-5.385556e-003
 31.57200, 0.11833,-5.379832e-003
 31.58200, 0.12000,-5.476764e-003
 31.59600, 0.12167,-5.473762e-003
 31.60300, 0.12333,-5.570250e-003
 31.60900, 0.12500,-5.467545e-003
 31.61900, 0.12667,-5.567653e-003
 31.63100, 0.12833,-5.471367e-003
 31.64200, 0.13000,-5.577516e-003
 31.65200, 0.13167,-5.384483e-003
 31.66400, 0.13333,-5.491527e-003
 31.67400, 0.13500,-5.398824e-003
 31.68500, 0.13667,-5.506715e-003
 31.69700, 0.13833,-5.315380e-003
 31.70900, 0.14000,-5.424963e-003
 31.72100, 0.14167,-5.335506e-003
 31.73100, 0.14333,-5.447119e-003
 31.74600, 0.14500,-5.259718e-003
 31.75700, 0.14667,-5.372929e-003
 31.77100, 0.14833,-5.185973e-003
 31.78300, 0.15000,-5.297957e-003
 31.79600, 0.15167,-5.107747e-003
 31.81000, 0.15333,-5.214381e-003
