#EXPORTTYPE:,DATA ALL,,,,
#FILE:,Program 3 Mixchar2 - Buk.ngb-ss5,,,,
#FORMAT:,NETZSCH5,,,,
#FTYPE:,UNICODE,,,,
#IDENTITY:,Program 3 Mixchar2 - B,,,,
#MTYPE:,TG,,,,
#INSTRUMENT:,NETZSCH STA 449F5,,,,
#PROJECT:,,,,,
#DATE/TIME:,17. 9. 2025 12:22:28 (UTC+2),,,,
#CORR. FILE:,,,,,
#TEMPCAL:,15/11/2022 7:48,,,,
#SENSITIVITY:,6/12/2022 14:50,,,,
#LABORATORY:,MTF STU,,,,
#OPERATOR:,td,,,,
#REMARK:,,,,,
#SAMPLE:,Program 3 Mixchar2 - B,,,,
#SAMPLE MASS /mg:,10.6531,,,,
#MATERIAL:,wood,,,,
#REFERENCE:,Empty Al2O3,,,,
#REFERENCE MASS /mg:,0,,,,
#TYPE OF CRUCIBLE:,"Al2O3 85 µl, open",,,,
#SAMPLE CRUCIBLE MASS /mg:,142.9,,,,
#REFERENCE CRUCIBLE MASS /mg:,147,,,,
#PURGE 1 MFC:,"OXYGEN,252,5 ml/min",,,,
#PURGE 2 MFC:,"NITROGEN,250,0 ml/min",,,,
#PROTECTIVE MFC:,"NITROGEN,250,0 ml/min",,,,
#DSC RANGE /µV:,5000,,,,
#TG RANGE /mg:,35000,,,,
#TAU-R:,---,,,,
#CORR. CODE:,0,,,,
#EXO:,1,,,,
#RANGE:,35°C....815°C/-10.0....10.0K/min,,,,
#SEGMENT:,S1-6/6,,,,
#SEG. 1:,35°C/10.0(K/min)/105°C,,,,
#SEG. 2:,105°C/02:00/105°C,,,,
#SEG. 3:,105°C/10.0(K/min)/750°C,,,,
#SEG. 4:,750°C/10.0(K/min)/600°C,,,,
#SEG. 5:,600°C/3.6(K/min)/815°C,,,,
#SEG. 6:,815°C/02:00/815°C,,,,
,,,,,
temp,time,mass_loss,dtg,sensitivity,stage
32.488,0,0.000000E+0,-6.04E-02,0.98674,1
33.01164,0.25,-1.12E-02,-4.17E-02,0.98631,1
33.602,0.5,-2.09E-02,-4.11E-02,0.98583,1
34.36048,0.75,-3.05E-02,-4.15E-02,0.98521,1
35.32,1,-4.25E-02,-4.67E-02,0.98443,1
36.54471,1.25,-5.36E-02,-4.91E-02,0.98343,1
38.013,1.5,-6.72E-02,-5.02E-02,0.98223,1
39.6926,1.75,-7.84E-02,-5.27E-02,0.98086,1
41.606,2,-9.38E-02,-5.86E-02,0.9793,1
43.64971,2.25,-0.10776,-6.11E-02,0.97763,1
45.791,2.5,-0.1245,-6.70E-02,0.97588,1
48.04534,2.75,-0.14104,-7.44E-02,0.97404,1
50.358,3,-0.15946,-7.41E-02,0.97215,1
52.73008,3.25,-0.18016,-8.28E-02,0.97021,1
55.164,3.5,-0.20085,-8.37E-02,0.96822,1
57.6632,3.75,-0.22271,-8.79E-02,0.96617,1
60.214,4,-0.24574,-9.01E-02,0.96409,1
62.87382,4.25,-0.26709,-8.66E-02,0.96191,1
65.6,4.5,-0.2878,-8.53E-02,0.95967,1
68.37339,4.75,-0.3092,-8.36E-02,0.9574,1
71.212,5,-0.3293,-8.34E-02,0.95507,1
74.0772,5.25,-0.35041,-7.82E-02,0.95272,1
76.983,5.5,-0.36878,-6.63E-02,0.95034,1
79.92151,5.75,-0.38406,-5.98E-02,0.94793,1
82.9,6,-0.39866,-5.79E-02,0.94549,1
85.8739,6.25,-0.41294,-5.16E-02,0.94305,1
88.859,6.5,-0.42618,-4.19E-02,0.9406,1
91.86334,6.75,-0.43395,-2.81E-02,0.93814,1
94.849,7,-0.43937,-0.11544,0.93569,1
97.759,7.25,-0.4458,-2.10E-02,0.93331,2
100.45,7.5,-0.44986,-1.53E-02,0.9311,2
102.832,7.75,-0.45256,-1.07E-02,0.92915,2
104.881,8,-0.4546,-7.34E-03,0.92747,2
106.61,8.25,-0.45618,-5.16E-03,0.92606,2
108.011,8.5,-0.45753,-3.97E-03,0.92491,2
109.136,8.75,-0.45628,-3.38E-03,0.92399,2
109.977,9,-0.45934,-3.02E-03,0.9233,2
110.608,9.25,-0.45821,-2.52E-03,0.92279,2
111.014,9.5,-0.46171,-1.44E-03,0.92246,2
111.264,9.75,-0.46035,-1.24E-04,0.92225,2
111.399,10,-0.45764,3.549400E-4,0.92214,2
111.465,10.25,-0.459,4.267385E-5,0.92209,2
111.46,10.5,-0.46035,-3.72E-04,0.92209,2
111.423,10.75,-0.45866,-9.62E-04,0.92212,2
111.376,11,-0.46001,-1.40E-03,0.92216,2
111.31,11.25,-0.46148,-7.64E-04,0.92221,2
111.237,11.5,-0.46159,4.291067E-4,0.92227,2
111.13,11.75,-0.45888,5.937264E-4,0.92236,2
111.02,12,-0.45922,-3.60E-04,0.92245,2
110.873,12.25,-0.46024,-1.03E-03,0.92257,2
110.722,12.5,-0.46159,-7.02E-04,0.92269,2
110.563,12.75,-0.46159,-1.24E-04,0.92282,2
110.366,13,-0.45922,-1.67E-04,0.92299,2
110.155,13.25,-0.46159,-4.60E-04,0.92316,2
109.935,13.5,-0.46159,-4.22E-04,0.92334,2
109.728,13.75,-0.46058,-4.23E-04,0.92351,2
109.508,14,-0.46091,-6.93E-04,0.92369,2
109.282,14.25,-0.46227,-7.45E-04,0.92387,2
109.085,14.5,-0.46092,-7.59E-05,0.92403,2
108.888,14.75,-0.46227,1.267141E-3,0.92419,2
108.683,15,-0.46069,2.088856E-3,0.92436,2
108.487,15.25,-0.46125,1.321902E-3,0.92452,2
108.309,15.5,-0.4599,-5.03E-05,0.92467,2
108.147,15.75,-0.46001,-7.14E-04,0.9248,2
107.958,16,-0.45968,-7.64E-04,0.92496,2
107.797,16.25,-0.46261,-4.87E-04,0.92509,2
107.637,16.5,-0.46091,5.377407E-5,0.92522,2
107.49,16.75,-0.46159,4.998122E-4,0.92534,2
107.33,17,-0.46024,4.461801E-4,0.92547,2
107.186,17.25,-0.46024,2.328384E-4,0.92559,2
107.063,17.5,-0.46159,5.950352E-4,0.92569,2
106.916,17.75,-0.46159,1.046138E-3,0.92581,2
106.81,18,-0.45753,5.690925E-4,0.9259,2
106.689,18.25,-0.46057,-3.81E-04,0.92599,2
106.595,18.5,-0.46023,-8.12E-04,0.92607,2
106.491,18.75,-0.45945,-7.29E-04,0.92616,2
106.397,19,-0.46147,-4.42E-04,0.92623,2
106.313,19.25,-0.4608,-1.01E-04,0.9263,2
106.228,19.5,-0.4608,3.799875E-5,0.92637,2
106.145,19.75,-0.4608,-3.99E-04,0.92644,2
106.07,20,-0.45764,-1.41E-03,0.9265,2
106.005,20.25,-0.46306,-1.96E-03,0.92655,2
105.933,20.5,-0.46305,-1.47E-03,0.92661,2
105.854,20.75,-0.46035,-7.04E-04,0.92668,2
105.791,21,-0.46305,-1.72E-04,0.92673,2
105.742,21.25,-0.46237,1.964725E-4,0.92677,2
105.697,21.5,-0.46102,2.291009E-4,0.92681,2
105.629,21.75,-0.46237,2.070019E-4,0.92686,2
105.605,22,-0.46306,6.786132E-4,0.92688,2
105.551,22.25,-0.4617,1.129177E-3,0.92693,2
105.522,22.5,-0.46001,6.448201E-4,0.92695,2
105.469,22.75,-0.46136,-3.35E-04,0.92699,2
105.457,23,-0.46272,-7.47E-04,0.927,2
105.41,23.25,-0.46171,-5.63E-04,0.92704,2
105.388,23.5,-0.46171,-7.12E-05,0.92706,2
105.379,23.75,-0.46306,8.685626E-4,0.92707,2
105.356,24,-0.46171,1.656930E-3,0.92709,2
105.334,24.25,-0.45933,1.334620E-3,0.9271,2
105.328,24.5,-0.46069,2.835747E-4,0.92711,2
105.3,24.75,-0.46204,-5.71E-04,0.92713,2
105.299,25,-0.46171,-1.11E-03,0.92713,2
105.29,25.25,-0.46204,-1.41E-03,0.92714,2
105.262,25.5,-0.4617,-1.21E-03,0.92716,2
105.229,25.75,-0.46237,-4.57E-04,0.92719,2
105.225,26,-0.46271,4.663122E-4,0.92719,2
105.218,26.25,-0.46238,9.959259E-4,0.9272,2
105.204,26.5,-0.46136,6.275797E-4,0.92721,2
105.176,26.75,-0.45899,-5.94E-04,0.92723,2
105.188,27,-0.46305,-1.55E-03,0.92722,2
105.164,27.25,-0.46271,-1.41E-03,0.92724,2
105.161,27.5,-0.46306,-6.92E-04,0.92725,2
105.126,27.75,-0.4617,-7.11E-05,0.92727,2
105.128,28,-0.4617,3.156698E-4,0.92727,2
105.099,28.25,-0.4617,4.053203E-4,0.9273,2
105.088,28.5,-0.46204,1.113826E-4,0.92731,2
105.09,28.75,-0.46204,-5.96E-04,0.9273,2
105.083,29,-0.46306,-1.52E-03,0.92731,2
105.073,29.25,-0.4635,-1.77E-03,0.92732,2
105.069,29.5,-0.46464,-7.35E-04,0.92732,2
105.059,29.75,-0.46261,7.878942E-4,0.92733,2
105.083,30,-0.46328,1.604186E-3,0.92731,2
105.07,30.25,-0.46193,1.448210E-3,0.92732,2
105.074,30.5,-0.46261,5.967412E-4,0.92732,2
105.056,30.75,-0.46159,-5.81E-04,0.92733,2
105.05,31,-0.46295,-1.40E-03,0.92734,2
105.043,31.25,-0.46294,-1.28E-03,0.92734,2
105.046,31.5,-0.46498,-4.89E-04,0.92734,2
105.039,31.75,-0.46283,1.703637E-4,0.92735,2
105.037,32,-0.46317,1.386216E-4,0.92735,2
105.035,32.25,-0.46182,-4.02E-04,0.92735,2
105.036,32.5,-0.46317,-7.85E-04,0.92735,2
105.047,32.75,-0.46385,-7.69E-04,0.92734,2
105.056,33,-0.46317,-6.80E-04,0.92733,2
105.052,33.25,-0.46452,-7.01E-04,0.92733,2
105.07,33.5,-0.46418,-6.18E-04,0.92732,2
105.055,33.75,-0.46554,-2.94E-04,0.92733,2
105.053,34,-0.46283,-1.22E-04,0.92733,2
105.048,34.25,-0.46418,-3.12E-04,0.92734,2
105.053,34.5,-0.46419,-5.11E-04,0.92733,2
105.052,34.75,-0.46554,-4.86E-04,0.92733,2
105.037,35,-0.46453,-4.06E-04,0.92735,2
105.054,35.25,-0.46588,-5.87E-04,0.92733,2
105.041,35.5,-0.46384,-1.00E-03,0.92734,2
105.025,35.75,-0.46554,-1.08E-03,0.92736,2
105.027,36,-0.46554,-4.32E-04,0.92736,2
105.03,36.25,-0.46588,3.985014E-4,0.92735,2
105.032,36.5,-0.46486,5.939614E-4,0.92735,2
105.013,36.75,-0.46418,1.986469E-4,0.92737,2
105.029,37,-0.46621,-3.47E-04,0.92735,2
105.014,37.25,-0.46419,-9.92E-04,0.92737,2
105.033,37.5,-0.46621,-1.43E-03,0.92735,2
105.021,37.75,-0.46689,-1.32E-03,0.92736,2
105.02,38,-0.46554,-1.10E-03,0.92736,2
105.025,38.25,-0.46723,-1.20E-03,0.92736,2
104.998,38.5,-0.46689,-1.21E-03,0.92738,2
104.997,38.75,-0.46756,-5.83E-04,0.92738,2
105.008,39,-0.46892,4.437934E-4,0.92737,2
105.003,39.25,-0.46621,8.957532E-4,0.92738,2
105.009,39.5,-0.46621,4.598926E-4,0.92737,2
105.023,39.75,-0.46621,-1.26E-04,0.92736,2
105.013,40,-0.46723,-2.97E-04,0.92737,2
105.027,40.25,-0.46655,-1.11E-04,0.92736,2
105.016,40.5,-0.46824,2.372437E-4,0.92736,2
105,40.75,-0.46622,4.692303E-4,0.92738,2
104.996,41,-0.46622,2.691526E-4,0.92738,2
104.998,41.25,-0.46622,-3.13E-04,0.92738,2
105.007,41.5,-0.46723,-9.66E-04,0.92737,2
105.002,41.75,-0.46824,-1.52E-03,0.92738,2
105.009,42,-0.46723,-1.75E-03,0.92737,2
104.993,42.25,-0.46881,-1.18E-03,0.92738,2
104.984,42.5,-0.47016,-1.42E-04,0.92739,2
104.978,42.75,-0.46644,8.222353E-5,0.9274,2
104.986,43,-0.46711,-4.73E-04,0.92739,2
104.983,43.25,-0.46915,-4.80E-04,0.92739,2
104.988,43.5,-0.46915,1.980172E-4,0.92739,2
104.993,43.75,-0.4678,6.731718E-4,0.92738,2
104.998,44,-0.4678,8.950978E-4,0.92738,2
104.985,44.25,-0.46915,1.123203E-3,0.92739,2
105.007,44.5,-0.46576,7.098054E-4,0.92737,2
104.993,44.75,-0.46576,-5.43E-04,0.92738,2
105.002,45,-0.46847,-1.38E-03,0.92738,2
105.017,45.25,-0.46847,-9.71E-04,0.92736,2
105.03,45.5,-0.46948,-1.05E-04,0.92735,2
105.026,45.75,-0.46712,3.271817E-4,0.92736,2
105.022,46,-0.46983,3.766049E-4,0.92736,2
105.025,46.25,-0.46712,2.971127E-4,0.92736,2
105.01,46.5,-0.46814,1.254270E-4,0.92737,2
105.018,46.75,-0.46814,-1.32E-04,0.92736,2
105.017,47,-0.46745,-3.84E-04,0.92736,2
105.019,47.25,-0.46745,-5.42E-04,0.92736,2
105.011,47.5,-0.46881,-6.19E-04,0.92737,2
105.016,47.75,-0.46881,-5.56E-04,0.92736,2
105.028,48,-0.46881,-5.55E-04,0.92735,2
105.027,48.25,-0.46847,-1.01E-03,0.92736,2
105.025,48.5,-0.46813,-1.44E-03,0.92736,2
105.03,48.75,-0.46915,-8.57E-04,0.92735,2
105.032,49,-0.4705,5.041804E-4,0.92735,2
105.037,49.25,-0.46914,1.373246E-3,0.92735,2
105.037,49.5,-0.46914,1.182651E-3,0.92735,2
105.035,49.75,-0.46813,5.025935E-4,0.92735,2
105.028,50,-0.46881,-9.05E-05,0.92735,2
105.031,50.25,-0.46847,-5.23E-04,0.92735,2
105.035,50.5,-0.46847,-9.06E-04,0.92735,2
105.028,50.75,-0.46983,-1.49E-03,0.92735,2
105.02,51,-0.46881,-2.26E-03,0.92736,2
105.021,51.25,-0.46983,-2.25E-03,0.92736,2
105.016,51.5,-0.47253,-8.99E-04,0.92736,2
105.017,51.75,-0.4705,3.254855E-4,0.92736,2
105.019,52,-0.46982,1.831025E-5,0.92736,2
105.017,52.25,-0.47083,-8.82E-04,0.92736,2
105.014,52.5,-0.47083,-9.67E-04,0.92737,2
105.014,52.75,-0.4705,-3.05E-04,0.92737,2
105.009,53,-0.47185,3.373552E-4,0.92737,2
105.013,53.25,-0.4705,4.059532E-4,0.92737,2
105.019,53.5,-0.4705,-1.93E-04,0.92736,2
105.019,53.75,-0.46982,-9.86E-04,0.92736,2
105.022,54,-0.47219,-1.19E-03,0.92736,2
105.032,54.25,-0.47219,-5.95E-04,0.92735,2
105.014,54.5,-0.47084,7.104650E-5,0.92737,2
105.027,54.75,-0.47084,2.144972E-4,0.92736,2
105.011,55,-0.47287,-8.22E-05,0.92737,2
105.005,55.25,-0.4705,-6.54E-04,0.92737,2
105.003,55.5,-0.47118,-1.10E-03,0.92738,2
105.009,55.75,-0.47423,-9.08E-04,0.92737,2
105.014,56,-0.4705,-3.28E-04,0.92737,2
105.008,56.25,-0.47219,6.086762E-5,0.92737,2
105.017,56.5,-0.47219,2.019959E-4,0.92736,2
105.004,56.75,-0.47253,2.912346E-4,0.92737,2
105.006,57,-0.47186,3.562355E-4,0.92737,2
105.015,57.25,-0.47253,4.444212E-4,0.92737,2
105.011,57.5,-0.4732,6.258464E-4,0.92737,2
105.009,57.75,-0.47084,7.738834E-4,0.92737,2
105.012,58,-0.47152,7.684991E-4,0.92737,2
105.018,58.25,-0.47084,4.639661E-4,0.92736,2
105.018,58.5,-0.47084,-3.99E-04,0.92736,2
105.011,58.75,-0.47084,-1.63E-03,0.92737,2
105.018,59,-0.47219,-2.37E-03,0.92736,2
105.003,59.25,-0.47354,-2.05E-03,0.92738,2
104.999,59.5,-0.47388,-1.14E-03,0.92738,2
104.992,59.75,-0.47354,-4.93E-04,0.92738,2
104.998,60,-0.47252,-3.32E-04,0.92738,2
104.996,60.25,-0.47354,-2.71E-04,0.92738,2
104.995,60.5,-0.47388,-5.49E-05,0.92738,2
105.01,60.75,-0.47355,1.602804E-4,0.92737,2
104.991,61,-0.47388,1.804954E-4,0.92738,2
105.001,61.25,-0.47321,-7.38E-06,0.92738,2
104.992,61.5,-0.47355,-1.50E-04,0.92738,2
105.008,61.75,-0.47456,-1.37E-04,0.92737,2
105.007,62,-0.47321,-4.12E-04,0.92737,2
105.004,62.25,-0.47287,-1.07E-03,0.92737,2
104.999,62.5,-0.4749,-1.24E-03,0.92738,2
104.982,62.75,-0.47692,-5.18E-04,0.92739,2
104.977,63,-0.47422,3.205290E-4,0.9274,2
104.981,63.25,-0.4749,5.840821E-4,0.92739,2
104.987,63.5,-0.4732,3.178565E-4,0.92739,2
104.988,63.75,-0.4732,-6.65E-05,0.92739,2
104.996,64,-0.47422,-2.85E-04,0.92738,2
105.004,64.25,-0.47354,-5.20E-04,0.92737,2
