temp_C,time_min,mass_loss
31.453,0,-9.31E-04
31.452,0.00167,-1.34E-03
31.45,0.00333,-1.35E-03
31.45,0.005,-1.66E-03
31.45,0.00667,-1.68E-03
31.45,0.00833,-1.80E-03
31.45,0.01,-1.82E-03
31.452,0.01167,-1.94E-03
31.452,0.01333,-1.96E-03
31.453,0.015,-1.97E-03
31.45,0.01667,-1.99E-03
31.45,0.01833,-2.10E-03
31.451,0.02,-2.11E-03
31.45,0.02167,-2.13E-03
31.449,0.02333,-2.14E-03
31.45,0.025,-2.46E-03
31.451,0.02667,-2.48E-03
31.452,0.02833,-2.50E-03
31.45,0.03,-2.51E-03
31.449,0.03167,-2.63E-03
31.452,0.03333,-2.65E-03
31.454,0.035,-2.77E-03
31.454,0.03667,-2.78E-03
31.45,0.03833,-2.79E-03
31.452,0.04,-2.80E-03
31.45,0.04167,-3.12E-03
31.45,0.04333,-3.13E-03
31.455,0.045,-3.15E-03
31.455,0.04667,-3.16E-03
31.452,0.04833,-3.27E-03
31.452,0.05,-3.28E-03
31.451,0.05167,-3.28E-03
31.451,0.05333,-3.29E-03
31.45,0.055,-3.61E-03
31.451,0.05667,-3.63E-03
31.453,0.05833,-3.64E-03
31.454,0.06,-3.66E-03
31.453,0.06167,-3.77E-03
31.454,0.06333,-3.79E-03
31.456,0.065,-3.79E-03
31.453,0.06667,-3.80E-03
31.452,0.06833,-4.01E-03
31.452,0.07,-4.02E-03
31.453,0.07167,-4.24E-03
31.456,0.07333,-4.26E-03
31.455,0.075,-4.28E-03
31.456,0.07667,-4.30E-03
31.457,0.07833,-4.42E-03
31.458,0.08,-4.44E-03
31.459,0.08167,-4.47E-03
31.462,0.08333,-4.50E-03
31.463,0.085,-4.63E-03
31.467,0.08667,-4.67E-03
31.468,0.08833,-4.71E-03
31.47,0.09,-4.75E-03
31.474,0.09167,-4.79E-03
31.476,0.09333,-4.84E-03
31.481,0.095,-4.90E-03
31.487,0.09667,-4.97E-03
31.491,0.09833,-5.03E-03
31.497,0.1,-5.10E-03
31.505,0.10167,-5.17E-03
31.51,0.10333,-5.24E-03
31.515,0.105,-5.22E-03
31.52,0.10667,-5.29E-03
31.529,0.10833,-5.37E-03
31.535,0.11,-5.45E-03
31.545,0.11167,-5.23E-03
31.55,0.11333,-5.31E-03
31.556,0.115,-5.30E-03
31.565,0.11667,-5.39E-03
31.572,0.11833,-5.38E-03
31.582,0.12,-5.48E-03
31.596,0.12167,-5.47E-03
31.603,0.12333,-5.57E-03
31.609,0.125,-5.47E-03
31.619,0.12667,-5.57E-03
31.631,0.12833,-5.47E-03
31.642,0.13,-5.58E-03
31.652,0.13167,-5.38E-03
31.664,0.13333,-5.49E-03
31.674,0.135,-5.40E-03
31.685,0.13667,-5.51E-03
31.697,0.13833,-5.32E-03
31.709,0.14,-5.42E-03
31.721,0.14167,-5.34E-03
31.731,0.14333,-5.45E-03
31.746,0.145,-5.26E-03
31.757,0.14667,-5.37E-03
31.771,0.14833,-5.19E-03
31.783,0.15,-5.30E-03
31.796,0.15167,-5.11E-03
31.81,0.15333,-5.21E-03
31.823,0.155,-4.92E-03
31.834,0.15667,-5.02E-03
31.845,0.15833,-4.92E-03
31.86,0.16,-5.02E-03
31.872,0.16167,-4.82E-03
31.885,0.16333,-4.92E-03
